kilavuz_kodu,universite_adi,birim_adi,birim_grup_adi,il_kodu,il_adi,universite_turu,ogretim_turu,burs_orani,puan_turu,kaynak,cekme_tarihi,yil,genel_kontenjan,sehit_gazi_kontenjan,depremzede_kontenjan,okul_birincisi_kontenjan,taban_puan,taban_siralama
202210339,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Hukuk (%50 İndirimli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,113.0,,,,0.0,
202210339,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Hukuk (%50 İndirimli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2024,161.0,,,,367.6758,84134.0
202210339,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Hukuk (%50 İndirimli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2023,170.0,,,,381.84865,77957.0
202210339,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,Hukuk (%50 İndirimli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2022,153.0,,,,386.45403,83567.0
203010178,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Hukuk (Ücretli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,3.0,,,,0.0,
203010178,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Hukuk (Ücretli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2024,5.0,,,,0.0,
203010178,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Hukuk (Ücretli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2023,9.0,,,,363.22514,122001.0
203010178,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Hukuk (Ücretli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2022,9.0,,,,0.0,
203090173,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Hukuk (%50 İndirimli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,93.0,,,,0.0,
203090173,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Hukuk (%50 İndirimli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2024,131.0,,,,0.0,
203090173,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Hukuk (%50 İndirimli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2023,135.0,,,,368.12477,109238.0
203090173,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,Hukuk (%50 İndirimli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2022,135.0,,,,381.07813,94992.0
203111193,İSTANBUL MEDİPOL ÜNİVERSİTESİ,Hukuk (Ücretli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,102.0,,,,0.0,
203111193,İSTANBUL MEDİPOL ÜNİVERSİTESİ,Hukuk (Ücretli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2022,3.0,,,,376.62867,104968.0
204711069,İSTANBUL OKAN ÜNİVERSİTESİ,Hukuk (%50 İndirimli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,51.0,,,,0.0,
204711069,İSTANBUL OKAN ÜNİVERSİTESİ,Hukuk (%50 İndirimli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2024,68.0,,,,0.0,
204711069,İSTANBUL OKAN ÜNİVERSİTESİ,Hukuk (%50 İndirimli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2023,72.0,,,,0.0,
204711069,İSTANBUL OKAN ÜNİVERSİTESİ,Hukuk (%50 İndirimli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2022,72.0,,,,0.0,
203211487,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Hukuk (Ücretli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,6.0,,,,0.0,
203211487,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Hukuk (Ücretli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2024,19.0,,,,351.00972,123409.0
203211487,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,Hukuk (Ücretli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2023,15.0,,,,0.0,
203410077,İSTANBUL TİCARET ÜNİVERSİTESİ,Hukuk (Ücretli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,14.0,,,,0.0,
203410077,İSTANBUL TİCARET ÜNİVERSİTESİ,Hukuk (Ücretli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2024,16.0,,,,0.0,
203410077,İSTANBUL TİCARET ÜNİVERSİTESİ,Hukuk (Ücretli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2023,49.0,,,,362.83703,123009.0
203410077,İSTANBUL TİCARET ÜNİVERSİTESİ,Hukuk (Ücretli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2022,44.0,,,,376.26919,105744.0
204010015,KTO KARATAY ÜNİVERSİTESİ (KONYA),Hukuk (Ücretli),Hukuk,42.0,KONYA,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,66.0,,,,0.0,
204010015,KTO KARATAY ÜNİVERSİTESİ (KONYA),Hukuk (Ücretli),Hukuk,42.0,KONYA,VAKIF,,,EA,yokatlas_api,2026-07-22,2024,89.0,,,,0.0,
204010015,KTO KARATAY ÜNİVERSİTESİ (KONYA),Hukuk (Ücretli),Hukuk,42.0,KONYA,VAKIF,,,EA,yokatlas_api,2026-07-22,2023,120.0,,,,367.02448,112056.0
204010015,KTO KARATAY ÜNİVERSİTESİ (KONYA),Hukuk (Ücretli),Hukuk,42.0,KONYA,VAKIF,,,EA,yokatlas_api,2026-07-22,2022,119.0,,,,370.61872,119198.0
204111939,MALTEPE ÜNİVERSİTESİ (İSTANBUL),Hukuk (Ücretli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2025,5.0,,,,0.0,
204111939,MALTEPE ÜNİVERSİTESİ (İSTANBUL),Hukuk (Ücretli),Hukuk,34.0,İSTANBUL,VAKIF,,,EA,yokatlas_api,2026-07-22,2024,13.0,,,,350.90722,123712.0
