kilavuz_kodu,universite_adi,birim_adi,birim_grup_adi,il_kodu,il_adi,universite_turu,ogretim_turu,burs_orani,puan_turu,kaynak,cekme_tarihi,yil,genel_kontenjan,yerlesen_sayisi,doluluk_orani,taban_puan,taban_siralama
101710336,BATMAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,72.0,BATMAN,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,70.0,,,0.0,
101710336,BATMAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,72.0,BATMAN,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,70.0,,,327.56678,240317.0
101710336,BATMAN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,72.0,BATMAN,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,65.0,,,306.73834,273557.0
102190021,BİTLİS EREN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,13.0,BİTLİS,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,,,,0.0,
102190021,BİTLİS EREN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,13.0,BİTLİS,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,45.0,,,0.0,
102190021,BİTLİS EREN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,13.0,BİTLİS,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,45.0,,,323.96051,250043.0
102190021,BİTLİS EREN ÜNİVERSİTESİ,Bilgisayar Mühendisliği,Bilgisayar Mühendisliği,13.0,BİTLİS,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,40.0,,,302.54473,285761.0
100190206,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Bilgisayar Mühendisliği (KKTC Uyruklu),Bilgisayar Mühendisliği,14.0,BOLU,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,,,,0.0,
100190206,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Bilgisayar Mühendisliği (KKTC Uyruklu),Bilgisayar Mühendisliği,14.0,BOLU,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,1.0,,,0.0,
100190206,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Bilgisayar Mühendisliği (KKTC Uyruklu),Bilgisayar Mühendisliği,14.0,BOLU,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,1.0,,,0.0,
100190206,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,Bilgisayar Mühendisliği (KKTC Uyruklu),Bilgisayar Mühendisliği,14.0,BOLU,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,1.0,,,305.80382,276236.0
102410262,BURSA TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (KKTC Uyruklu),Bilgisayar Mühendisliği,16.0,BURSA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,,,,0.0,
102410262,BURSA TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (KKTC Uyruklu),Bilgisayar Mühendisliği,16.0,BURSA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,1.0,,,0.0,
112490453,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (KKTC Uyruklu),Bilgisayar Mühendisliği,26.0,ESKİŞEHİR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,,,,0.0,
112490453,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (KKTC Uyruklu),Bilgisayar Mühendisliği,26.0,ESKİŞEHİR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,3.0,,,355.05991,139833.0
112490453,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (KKTC Uyruklu),Bilgisayar Mühendisliği,26.0,ESKİŞEHİR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,1.0,,,420.46451,87106.0
112490453,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,Bilgisayar Mühendisliği (İngilizce) (KKTC Uyruklu),Bilgisayar Mühendisliği,26.0,ESKİŞEHİR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,1.0,,,408.79528,96474.0
