kilavuz_kodu,universite_adi,birim_adi,birim_grup_adi,il_kodu,il_adi,universite_turu,ogretim_turu,burs_orani,puan_turu,kaynak,cekme_tarihi,yil,genel_kontenjan,sehit_gazi_kontenjan,depremzede_kontenjan,okul_birincisi_kontenjan,taban_puan,taban_siralama
108310179,ORDU ÜNİVERSİTESİ,Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi,52,ORDU,DEVLET,,,EA,yokatlas_api,2026-07-22,2023,65.0,,,,256.30661,812401.0
108310179,ORDU ÜNİVERSİTESİ,Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi,52,ORDU,DEVLET,,,EA,yokatlas_api,2026-07-22,2022,60.0,,,,260.16159,758509.0
103390162,DÜZCE ÜNİVERSİTESİ,Siyaset Bilimi ve Kamu Yönetimi (İngilizce),Siyaset Bilimi ve Kamu Yönetimi,81,DÜZCE,DEVLET,,,EA,yokatlas_api,2026-07-22,2025,30.0,,,,273.45761,559857.0
103390162,DÜZCE ÜNİVERSİTESİ,Siyaset Bilimi ve Kamu Yönetimi (İngilizce),Siyaset Bilimi ve Kamu Yönetimi,81,DÜZCE,DEVLET,,,EA,yokatlas_api,2026-07-22,2024,30.0,,,1.0,261.0943,697776.0
103390162,DÜZCE ÜNİVERSİTESİ,Siyaset Bilimi ve Kamu Yönetimi (İngilizce),Siyaset Bilimi ve Kamu Yönetimi,81,DÜZCE,DEVLET,,,EA,yokatlas_api,2026-07-22,2023,45.0,,,,265.68267,710420.0
103390162,DÜZCE ÜNİVERSİTESİ,Siyaset Bilimi ve Kamu Yönetimi (İngilizce),Siyaset Bilimi ve Kamu Yönetimi,81,DÜZCE,DEVLET,,,EA,yokatlas_api,2026-07-22,2022,30.0,,,,258.30938,779352.0
105310249,İNÖNÜ ÜNİVERSİTESİ (MALATYA),Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi,44,MALATYA,DEVLET,,,EA,yokatlas_api,2026-07-22,2025,40.0,,,,273.24234,561849.0
105310249,İNÖNÜ ÜNİVERSİTESİ (MALATYA),Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi,44,MALATYA,DEVLET,,,EA,yokatlas_api,2026-07-22,2024,50.0,,5.0,2.0,255.01693,769137.0
105310249,İNÖNÜ ÜNİVERSİTESİ (MALATYA),Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi,44,MALATYA,DEVLET,,,EA,yokatlas_api,2026-07-22,2023,80.0,,,,259.39313,777845.0
105310249,İNÖNÜ ÜNİVERSİTESİ (MALATYA),Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi,44,MALATYA,DEVLET,,,EA,yokatlas_api,2026-07-22,2022,80.0,,,,272.22944,633369.0
112070677,TARSUS ÜNİVERSİTESİ (MERSİN),Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi,33,MERSİN,DEVLET,,,EA,yokatlas_api,2026-07-22,2025,50.0,,,,272.78284,566149.0
112070677,TARSUS ÜNİVERSİTESİ (MERSİN),Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi,33,MERSİN,DEVLET,,,EA,yokatlas_api,2026-07-22,2024,40.0,,,1.0,254.99287,769449.0
112070677,TARSUS ÜNİVERSİTESİ (MERSİN),Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi,33,MERSİN,DEVLET,,,EA,yokatlas_api,2026-07-22,2023,65.0,,,,259.12314,780761.0
112070677,TARSUS ÜNİVERSİTESİ (MERSİN),Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi,33,MERSİN,DEVLET,,,EA,yokatlas_api,2026-07-22,2022,50.0,,,,258.24984,780011.0
100410978,AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR),Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi,3,AFYONKARAHİSAR,DEVLET,,,EA,yokatlas_api,2026-07-22,2025,50.0,,,,272.28162,570910.0
100410978,AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR),Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi,3,AFYONKARAHİSAR,DEVLET,,,EA,yokatlas_api,2026-07-22,2024,50.0,,,2.0,255.43,764142.0
100410978,AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR),Siyaset Bilimi ve Kamu Yönetimi,Siyaset Bilimi ve Kamu Yönetimi,3,AFYONKARAHİSAR,DEVLET,,,EA,yokatlas_api,2026-07-22,2023,70.0,,,,259.22626,779666.0
