kilavuz_kodu,universite_adi,birim_adi,birim_grup_adi,il_kodu,il_adi,universite_turu,ogretim_turu,burs_orani,puan_turu,kaynak,cekme_tarihi,yil,genel_kontenjan,sehit_gazi_kontenjan,depremzede_kontenjan,okul_birincisi_kontenjan,taban_puan,taban_siralama
300110722,DOĞU AKDENİZ ÜNİVERSİTESİ (KKTC-GAZİMAĞUSA),Makine Mühendisliği (İngilizce) (Burslu),Makine Mühendisliği,999.0,KIBRIS,KKTC,,,SAY,yokatlas_api,2026-07-22,2024,7.0,,,,322.6182,202148.0
300110722,DOĞU AKDENİZ ÜNİVERSİTESİ (KKTC-GAZİMAĞUSA),Makine Mühendisliği (İngilizce) (Burslu),Makine Mühendisliği,999.0,KIBRIS,KKTC,,,SAY,yokatlas_api,2026-07-22,2023,7.0,,,,339.60029,210855.0
300110722,DOĞU AKDENİZ ÜNİVERSİTESİ (KKTC-GAZİMAĞUSA),Makine Mühendisliği (İngilizce) (Burslu),Makine Mühendisliği,999.0,KIBRIS,KKTC,,,SAY,yokatlas_api,2026-07-22,2022,10.0,,,,313.98551,253560.0
112572410,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,32.0,ISPARTA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,40.0,,,,337.59475,200095.0
112572410,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,32.0,ISPARTA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,40.0,,,1.0,307.46221,242096.0
112572410,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,32.0,ISPARTA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,45.0,,,,317.65502,268059.0
112572410,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,32.0,ISPARTA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,40.0,,,,0.0,
106710375,KIRKLARELİ ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,39.0,KIRKLARELİ,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,30.0,,,,337.5268,200248.0
106710375,KIRKLARELİ ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,39.0,KIRKLARELİ,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,30.0,,,1.0,305.37071,248145.0
106710375,KIRKLARELİ ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,39.0,KIRKLARELİ,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,30.0,,,,314.12061,278890.0
106710375,KIRKLARELİ ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,39.0,KIRKLARELİ,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,25.0,,,,0.0,
101910291,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,11.0,BİLECİK,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,25.0,,,,337.45434,200408.0
101910291,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,11.0,BİLECİK,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,25.0,,,1.0,307.12636,243025.0
101910291,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,11.0,BİLECİK,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,25.0,,,,316.09052,272787.0
101910291,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,11.0,BİLECİK,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,20.0,,,,0.0,
110310135,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,67.0,ZONGULDAK,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,50.0,,,,336.00637,203657.0
110310135,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,67.0,ZONGULDAK,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,50.0,,,2.0,304.2371,251497.0
110310135,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,67.0,ZONGULDAK,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,55.0,,,,314.5101,277656.0
110310135,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,67.0,ZONGULDAK,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,50.0,,,,0.0,
102910719,ÇUKUROVA ÜNİVERSİTESİ (ADANA),Makine Mühendisliği,Makine Mühendisliği,1.0,ADANA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,45.0,,,,335.83886,204036.0
102910719,ÇUKUROVA ÜNİVERSİTESİ (ADANA),Makine Mühendisliği,Makine Mühendisliği,1.0,ADANA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,45.0,,5.0,2.0,306.43792,244991.0
102910719,ÇUKUROVA ÜNİVERSİTESİ (ADANA),Makine Mühendisliği,Makine Mühendisliği,1.0,ADANA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,55.0,,,,323.34335,251739.0
102910719,ÇUKUROVA ÜNİVERSİTESİ (ADANA),Makine Mühendisliği,Makine Mühendisliği,1.0,ADANA,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,50.0,,,,300.44272,292205.0
204890051,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),Makine Mühendisliği (İngilizce) (Ücretli),Makine Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,5.0,,,,333.32257,209878.0
204890051,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),Makine Mühendisliği (İngilizce) (Ücretli),Makine Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,8.0,,,,0.0,
204890051,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),Makine Mühendisliği (İngilizce) (Ücretli),Makine Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,17.0,,,,382.49869,134036.0
204890051,ÖZYEĞİN ÜNİVERSİTESİ (İSTANBUL),Makine Mühendisliği (İngilizce) (Ücretli),Makine Mühendisliği,34.0,İSTANBUL,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,15.0,,,,398.50505,107777.0
107310543,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,15.0,BURDUR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,25.0,,,,332.59084,211609.0
107310543,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,15.0,BURDUR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,25.0,,,1.0,302.96459,255480.0
107310543,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,15.0,BURDUR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,25.0,,,,314.55118,277518.0
107310543,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,15.0,BURDUR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,20.0,,,,0.0,
100410615,AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR),Makine Mühendisliği,Makine Mühendisliği,3.0,AFYONKARAHİSAR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,50.0,,,,331.79591,213458.0
100410615,AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR),Makine Mühendisliği,Makine Mühendisliği,3.0,AFYONKARAHİSAR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,50.0,,,2.0,302.02562,258465.0
100410615,AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR),Makine Mühendisliği,Makine Mühendisliği,3.0,AFYONKARAHİSAR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,50.0,,,,312.7111,283224.0
100410615,AFYON KOCATEPE ÜNİVERSİTESİ (AFYONKARAHİSAR),Makine Mühendisliği,Makine Mühendisliği,3.0,AFYONKARAHİSAR,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,45.0,,,,0.0,
201650185,HASAN KALYONCU ÜNİVERSİTESİ (GAZİANTEP),Makine Mühendisliği (Burslu),Makine Mühendisliği,27.0,GAZİANTEP,VAKIF,,,SAY,yokatlas_api,2026-07-22,2025,10.0,,,,331.4292,214346.0
201650185,HASAN KALYONCU ÜNİVERSİTESİ (GAZİANTEP),Makine Mühendisliği (Burslu),Makine Mühendisliği,27.0,GAZİANTEP,VAKIF,,,SAY,yokatlas_api,2026-07-22,2024,10.0,,1.0,,310.52563,233438.0
201650185,HASAN KALYONCU ÜNİVERSİTESİ (GAZİANTEP),Makine Mühendisliği (Burslu),Makine Mühendisliği,27.0,GAZİANTEP,VAKIF,,,SAY,yokatlas_api,2026-07-22,2023,10.0,,,,320.41093,260023.0
201650185,HASAN KALYONCU ÜNİVERSİTESİ (GAZİANTEP),Makine Mühendisliği (Burslu),Makine Mühendisliği,27.0,GAZİANTEP,VAKIF,,,SAY,yokatlas_api,2026-07-22,2022,10.0,,,,299.20715,295998.0
101410515,ATATÜRK ÜNİVERSİTESİ (ERZURUM),Makine Mühendisliği,Makine Mühendisliği,25.0,ERZURUM,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,60.0,,,,330.53112,216457.0
101410515,ATATÜRK ÜNİVERSİTESİ (ERZURUM),Makine Mühendisliği,Makine Mühendisliği,25.0,ERZURUM,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,60.0,,,2.0,300.99174,261782.0
101410515,ATATÜRK ÜNİVERSİTESİ (ERZURUM),Makine Mühendisliği,Makine Mühendisliği,25.0,ERZURUM,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,60.0,,,,313.19814,281713.0
101410515,ATATÜRK ÜNİVERSİTESİ (ERZURUM),Makine Mühendisliği,Makine Mühendisliği,25.0,ERZURUM,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,55.0,,,,0.0,
112070680,TARSUS ÜNİVERSİTESİ (MERSİN),Makine Mühendisliği,Makine Mühendisliği,33.0,MERSİN,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,30.0,,,,330.25087,217152.0
112070680,TARSUS ÜNİVERSİTESİ (MERSİN),Makine Mühendisliği,Makine Mühendisliği,33.0,MERSİN,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,30.0,,,1.0,300.90021,262050.0
112070680,TARSUS ÜNİVERSİTESİ (MERSİN),Makine Mühendisliği,Makine Mühendisliği,33.0,MERSİN,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,30.0,,,,313.53513,280662.0
112070680,TARSUS ÜNİVERSİTESİ (MERSİN),Makine Mühendisliği,Makine Mühendisliği,33.0,MERSİN,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,25.0,,,,0.0,
109890293,UŞAK ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,64.0,UŞAK,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,40.0,,,,329.73319,218428.0
109890293,UŞAK ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,64.0,UŞAK,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,40.0,,,1.0,298.6312,269666.0
109890293,UŞAK ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,64.0,UŞAK,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,45.0,,,,310.38764,290752.0
101610082,BARTIN ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,74.0,BARTIN,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,25.0,,,,326.44489,226752.0
101610082,BARTIN ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,74.0,BARTIN,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,25.0,,,1.0,298.03291,271731.0
101610082,BARTIN ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,74.0,BARTIN,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,25.0,,,,310.54206,290245.0
101610082,BARTIN ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,74.0,BARTIN,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,20.0,,,,0.0,
102610361,SİVAS CUMHURİYET ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,58.0,SİVAS,DEVLET,,,SAY,yokatlas_api,2026-07-22,2025,30.0,,,,326.25172,227233.0
102610361,SİVAS CUMHURİYET ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,58.0,SİVAS,DEVLET,,,SAY,yokatlas_api,2026-07-22,2024,30.0,,,1.0,298.47922,270175.0
102610361,SİVAS CUMHURİYET ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,58.0,SİVAS,DEVLET,,,SAY,yokatlas_api,2026-07-22,2023,30.0,,,,312.45731,284051.0
102610361,SİVAS CUMHURİYET ÜNİVERSİTESİ,Makine Mühendisliği,Makine Mühendisliği,58.0,SİVAS,DEVLET,,,SAY,yokatlas_api,2026-07-22,2022,25.0,,,,0.0,
300510666,YAKIN DOĞU ÜNİVERSİTESİ (KKTC-LEFKOŞA),Makine Mühendisliği (İngilizce) (Burslu),Makine Mühendisliği,999.0,KIBRIS,KKTC,,,SAY,yokatlas_api,2026-07-22,2025,5.0,,,,325.61058,228966.0
300510666,YAKIN DOĞU ÜNİVERSİTESİ (KKTC-LEFKOŞA),Makine Mühendisliği (İngilizce) (Burslu),Makine Mühendisliği,999.0,KIBRIS,KKTC,,,SAY,yokatlas_api,2026-07-22,2024,5.0,,,,292.20838,292197.0
300510666,YAKIN DOĞU ÜNİVERSİTESİ (KKTC-LEFKOŞA),Makine Mühendisliği (İngilizce) (Burslu),Makine Mühendisliği,999.0,KIBRIS,KKTC,,,SAY,yokatlas_api,2026-07-22,2023,5.0,,,,0.0,
300510666,YAKIN DOĞU ÜNİVERSİTESİ (KKTC-LEFKOŞA),Makine Mühendisliği (İngilizce) (Burslu),Makine Mühendisliği,999.0,KIBRIS,KKTC,,,SAY,yokatlas_api,2026-07-22,2022,5.0,,,,0.0,
